iter	Passed	Remaining
402	8884	13161
403	8905	13137
404	8924	13111
405	8940	13080
406	8960	13055
407	8983	13035
408	9005	13013
409	9026	12989
410	9043	12960
411	9065	12937
412	9090	12920
413	9110	12895
414	9133	12875
415	9154	12850
416	9172	12824
417	9192	12799
418	9212	12774
419	9233	12751
420	9256	12730
421	9276	12705
422	9294	12678
423	9311	12649
424	9330	12623
425	9350	12598
426	9373	12577
427	9392	12552
428	9418	12535
429	9438	12511
430	9457	12486
431	9478	12461
432	9497	12437
433	9518	12413
434	9539	12390
435	9562	12370
436	9589	12354
437	9612	12333
438	9634	12312
439	9655	12288
440	9674	12263
441	9697	12242
442	9717	12217
443	9730	12185
444	9753	12165
445	9773	12140
446	9789	12111
447	9808	12085
448	9827	12060
449	9850	12039
450	9877	12023
451	9897	11999
452	9919	11977
453	9935	11948
454	9954	11923
455	9975	11901
456	9997	11878
457	10021	11859
458	10044	11839
459	10063	11814
460	10083	11789
461	10106	11769
462	10122	11740
463	10141	11715
464	10161	11691
465	10180	11665
466	10202	11644
467	10219	11617
468	10235	11589
469	10253	11562
470	10273	11538
471	10289	11510
472	10305	11482
473	10326	11459
474	10344	11433
475	10364	11409
476	10386	11387
477	10405	11363
478	10419	11332
479	10435	11305
480	10453	11278
481	10472	11254
482	10491	11230
483	10508	11203
484	10531	11183
485	10549	11156
486	10568	11132
487	10588	11109
488	10607	11084
489	10625	11058
490	10639	11029
491	10656	11003
492	10674	10977
493	10693	10953
494	10714	10930
495	10735	10908
496	10755	10885
497	10774	10860
498	10798	10841
499	10834	10834
500	10856	10812
501	10873	10786
502	10892	10762
503	10912	10739
504	10933	10717
505	10951	10692
506	10973	10670
507	10993	10647
508	11011	10622
509	11034	10602
510	11053	10577
511	11070	10551
512	11089	10527
513	11111	10505
514	11130	10482
515	11151	10459
516	11176	10441
517	11195	10417
518	11215	10394
519	11235	10371
520	11254	10347
521	11276	10326
522	11293	10299
523	11312	10276
524	11331	10252
525	11353	10231
526	11372	10207
527	11392	10183
528	11411	10160
529	11429	10135
530	11446	10109
531	11464	10085
532	11483	10061
533	11503	10038
534	11520	10012
535	11540	9990
536	11558	9966
537	11578	9942
538	11598	9920
539	11619	9897
540	11640	9875
541	11657	9850
542	11675	9825
543	11693	9802
544	11714	9779
545	11732	9755
546	11749	9730
547	11767	9705
548	11786	9682
549	11803	9657
550	11822	9634
551	11844	9612
552	11862	9588
553	11882	9565
554	11904	9545
555	11931	9527
556	11954	9507
557	11980	9490
558	12000	9467
559	12020	9444
560	12043	9424
561	12064	9402
562	12090	9384
563	12113	9364
564	12137	9344
565	12156	9321
566	12180	9302
567	12200	9279
568	12223	9258
569	12245	9237
570	12265	9214
571	12285	9192
572	12306	9171
573	12328	9149
574	12351	9129
575	12371	9106
576	12395	9086
577	12416	9065
578	12438	9044
579	12460	9022
580	12479	8999
581	12496	8975
582	12519	8954
583	12538	8931
584	12556	8907
585	12574	8883
586	12595	8861
587	12612	8837
588	12632	8814
589	12654	8793
590	12674	8771
591	12694	8749
592	12712	8725
593	12731	8701
594	12750	8678
595	12770	8656
596	12789	8633
597	12809	8610
598	12827	8587
599	12847	8564
600	12877	8549
601	12898	8527
602	12918	8504
603	12940	8484
604	12959	8461
605	12980	8439
606	13002	8418
607	13023	8397
608	13046	8376
609	13064	8352
610	13084	8330
611	13103	8307
612	13121	8284
613	13151	8267
614	13173	8246
615	13193	8224
616	13212	8201
617	13231	8178
618	13252	8156
619	13270	8133
620	13293	8113
621	13314	8091
622	13333	8068
623	13353	8046
624	13374	8024
625	13393	8001
626	13415	7980
627	13434	7957
628	13452	7934
629	13472	7912
630	13489	7888
631	13510	7866
632	13529	7843
633	13547	7820
634	13567	7798
635	13586	7775
636	13605	7753
637	13620	7728
638	13639	7705
639	13660	7683
640	13685	7664
641	13706	7642
642	13721	7618
643	13739	7595
644	13759	7573
645	13778	7550
646	13797	7527
647	13817	7505
648	13837	7483
649	13855	7460
650	13871	7436
651	13894	7415
652	13911	7392
653	13930	7370
654	13954	7350
655	13975	7328
656	13993	7305
657	14014	7284
658	14032	7261
659	14053	7239
660	14074	7218
661	14094	7196
662	14113	7173
663	14135	7152
664	14156	7131
665	14177	7110
666	14196	7087
667	14216	7065
668	14241	7046
669	14261	7024
670	14280	7002
671	14297	6978
672	14315	6955
673	14334	6933
674	14354	6911
675	14373	6888
676	14392	6866
677	14414	6845
678	14432	6822
679	14453	6801
680	14480	6782
681	14503	6762
682	14525	6741
683	14547	6720
684	14569	6699
685	14590	6678
686	14614	6658
687	14636	6637
688	14660	6617
689	14681	6596
690	14706	6576
691	14729	6555
692	14752	6535
693	14778	6516
694	14802	6495
695	14822	6474
696	14844	6453
697	14867	6432
698	14888	6411
699	14909	6389
700	14931	6368
701	14953	6347
702	14975	6326
703	14991	6303
704	15008	6280
705	15026	6257
706	15049	6236
707	15071	6216
708	15090	6193
709	15110	6172
710	15130	6150
711	15147	6127
712	15168	6105
713	15188	6084
714	15209	6062
715	15228	6040
716	15250	6019
717	15267	5996
718	15285	5974
719	15308	5953
720	15327	5931
721	15347	5909
722	15365	5886
723	15383	5864
724	15407	5844
725	15424	5821
726	15447	5800
727	15465	5778
728	15489	5757
729	15506	5735
730	15526	5713
731	15547	5692
732	15566	5670
733	15585	5648
734	15602	5625
735	15619	5602
736	15642	5581
737	15660	5559
738	15680	5537
739	15698	5515
740	15715	5492
741	15733	5470
742	15750	5447
743	15769	5425
744	15789	5404
745	15808	5382
746	15832	5362
747	15851	5340
748	15871	5318
749	15892	5297
750	15909	5274
751	15930	5253
752	15956	5233
753	15975	5212
754	15993	5189
755	16016	5169
756	16035	5147
757	16052	5125
758	16072	5103
759	16092	5081
760	16112	5060
761	16129	5037
762	16148	5016
763	16169	4994
764	16186	4972
765	16206	4950
766	16223	4928
767	16243	4906
768	16263	4885
769	16280	4863
770	16303	4842
771	16320	4819
772	16340	4798
773	16358	4776
774	16377	4754
775	16398	4733
776	16418	4712
777	16437	4690
778	16454	4668
779	16475	4647
780	16495	4625
781	16514	4603
782	16535	4582
783	16553	4560
784	16575	4539
785	16594	4518
786	16615	4496
787	16633	4475
788	16651	4453
789	16673	4432
790	16692	4410
791	16710	4388
792	16730	4367
793	16751	4346
794	16771	4324
795	16793	4303
796	16813	4282
797	16832	4260
798	16849	4238
799	16867	4216
800	16888	4195
801	16907	4174
802	16930	4153
803	16949	4131
804	16970	4110
805	16991	4089
806	17019	4070
807	17047	4050
808	17070	4030
809	17090	4008
810	17111	3987
811	17135	3967
812	17157	3946
813	17180	3925
814	17201	3904
815	17225	3884
816	17249	3863
817	17272	3842
818	17300	3823
819	17323	3802
820	17344	3781
821	17363	3759
822	17385	3739
823	17404	3717
824	17429	3697
825	17451	3676
826	17473	3655
827	17501	3635
828	17523	3614
829	17540	3592
830	17564	3572
831	17585	3550
832	17609	3530
833	17630	3509
834	17648	3487
835	17669	3466
836	17691	3445
837	17711	3423
838	17743	3404
839	17762	3383
840	17784	3362
841	17806	3341
842	17826	3319
843	17855	3300
844	17877	3279
845	17897	3257
846	17923	3237
847	17945	3216
848	17965	3195
849	17986	3174
850	18007	3152
851	18029	3131
852	18048	3110
853	18070	3089
854	18092	3068
855	18113	3047
856	18134	3025
857	18156	3004
858	18178	2983
859	18199	2962
860	18222	2941
861	18242	2920
862	18260	2898
863	18278	2877
864	18303	2856
865	18323	2835
866	18347	2814
867	18369	2793
868	18392	2772
869	18414	2751
870	18433	2730
871	18457	2709
872	18476	2687
873	18497	2666
874	18519	2645
875	18542	2624
876	18561	2603
877	18585	2582
878	18609	2561
879	18637	2541
880	18659	2520
881	18677	2498
882	18695	2477
883	18713	2455
884	18732	2434
885	18752	2412
886	18783	2392
887	18805	2371
888	18830	2351
889	18850	2329
890	18871	2308
891	18892	2287
892	18914	2266
893	18936	2245
894	18958	2224
895	18978	2202
896	18995	2181
897	19017	2160
898	19043	2139
899	19062	2118
900	19083	2096
901	19102	2075
902	19124	2054
903	19147	2033
904	19170	2012
905	19197	1991
906	19219	1970
907	19246	1950
908	19267	1928
909	19286	1907
910	19304	1885
911	19324	1864
912	19343	1843
913	19363	1821
914	19384	1800
915	19405	1779
916	19429	1758
917	19455	1737
918	19481	1717
919	19513	1696
920	19537	1675
921	19555	1654
922	19578	1633
923	19602	1612
924	19625	1591
925	19648	1570
926	19671	1549
927	19696	1528
928	19718	1506
929	19739	1485
930	19763	1464
931	19786	1443
932	19808	1422
933	19831	1401
934	19854	1380
935	19880	1359
936	19904	1338
937	19927	1317
938	19953	1296
939	19972	1274
940	19991	1253
941	20016	1232
942	20034	1210
943	20058	1189
944	20081	1168
945	20101	1147
946	20120	1126
947	20140	1104
948	20161	1083
949	20179	1062
950	20201	1040
951	20225	1019
952	20247	998
953	20266	977
954	20285	955
955	20308	934
956	20330	913
957	20348	892
958	20369	870
959	20392	849
960	20413	828
961	20437	807
962	20459	786
963	20484	764
964	20512	743
965	20533	722
966	20556	701
967	20576	680
968	20596	658
969	20614	637
970	20633	616
971	20653	594
972	20673	573
973	20694	552
974	20721	531
975	20743	510
976	20767	488
977	20793	467
978	20816	446
979	20838	425
980	20863	404
981	20891	382
982	20912	361
983	20936	340
984	20957	319
985	20979	297
986	21000	276
987	21021	255
988	21047	234
989	21066	212
990	21089	191
991	21109	170
992	21131	148
993	21156	127
994	21182	106
995	21205	85
996	21229	63
997	21252	42
998	21278	21
999	21300	0
