iter	RMSE
305	63339.22449
306	63317.69854
307	63298.84474
308	63253.65403
309	63227.34733
310	63214.23149
311	63097.71707
312	63075.99518
313	63060.68165
314	63047.60162
315	62924.23367
316	62905.06959
317	62884.06212
318	62802.42872
319	62761.38949
320	62736.25006
321	62715.04345
322	62714.53303
323	62681.20851
324	62662.07556
325	62627.11284
326	62604.36889
327	62593.59264
328	62593.10305
329	62549.82726
330	62529.8657
331	62509.26984
332	62501.48795
333	62494.29373
334	62478.20179
335	62404.83168
336	62283.80186
337	62175.4756
338	62110.84768
339	62083.55094
340	62065.75806
341	62053.69316
342	62053.22818
343	62052.83498
344	62046.33002
345	62026.42525
346	61993.74277
347	61987.6901
348	61950.33282
349	61950.14079
350	61909.34188
351	61888.94806
352	61806.57679
353	61784.58123
354	61742.37599
355	61724.54347
356	61706.40939
357	61689.69284
358	61675.84954
359	61618.12089
360	61597.33074
361	61583.64375
362	61546.1493
363	61533.81956
364	61511.80414
365	61511.5798
366	61415.87181
367	61389.76642
368	61384.15449
369	61371.25157
370	61370.89935
371	61365.66502
372	61360.78412
373	61335.75362
374	61310.76107
375	61282.27059
376	61264.3791
377	61236.5953
378	61209.00691
379	61208.80112
380	61199.37408
381	61179.66391
382	61059.43996
383	61050.79806
384	61046.43728
385	61019.82868
386	60997.21434
387	60973.04356
388	60916.39296
389	60902.4912
390	60883.94256
391	60854.4845
392	60846.1836
393	60828.4899
394	60814.09216
395	60801.48584
396	60739.8057
397	60723.87953
398	60707.03173
399	60672.02381
400	60610.06251
401	60592.97747
402	60555.64093
403	60533.12405
404	60523.93078
405	60523.61911
406	60504.58785
407	60480.64469
408	60461.77095
409	60444.73392
410	60430.15204
411	60414.64834
412	60353.36904
413	60337.18884
414	60322.86405
415	60308.02366
416	60288.54943
417	60275.03605
418	60263.25271
419	60239.37352
420	60135.02426
421	60128.94966
422	60123.06421
423	60106.25364
424	60082.39577
425	60073.62875
426	59997.08659
427	59977.45548
428	59964.25062
429	59943.16689
430	59926.17297
431	59916.26309
432	59905.18381
433	59887.89506
434	59788.34498
435	59775.57771
436	59765.81845
437	59748.64373
438	59721.59341
439	59705.52973
440	59680.81558
441	59660.65823
442	59642.87705
443	59642.62307
444	59628.69028
445	59588.13418
446	59588.01625
447	59569.1109
448	59547.24195
449	59530.37788
450	59462.83324
451	59449.21253
452	59431.54465
453	59417.00271
454	59405.6929
455	59383.49522
456	59368.52307
457	59347.4343
458	59326.65684
459	59309.80327
460	59293.73432
461	59229.29667
462	59210.07362
463	59189.911
464	59079.32493
465	59069.70161
466	59002.07897
467	58973.76632
468	58951.92348
469	58918.06234
470	58903.69992
471	58884.26962
472	58872.97852
473	58860.59105
474	58846.40986
475	58819.435
476	58779.63348
477	58773.63373
478	58773.41124
479	58754.82276
480	58754.62977
481	58735.97859
482	58727.68712
483	58718.09258
484	58666.4986
485	58648.77133
486	58593.67609
487	58581.75674
488	58557.79991
489	58544.63333
490	58542.9755
491	58525.50455
492	58517.14463
493	58486.68953
494	58457.10371
495	58395.51767
496	58371.43369
497	58355.96913
498	58337.95211
499	58299.36595
500	58276.22203
501	58262.23158
502	58246.69933
503	58229.01901
504	58214.19012
505	58194.47248
506	58157.94987
507	58089.06533
508	58066.29452
509	58026.53025
510	58014.60542
511	58000.9702
512	57982.2157
513	57974.50867
514	57958.71388
515	57950.04304
516	57846.34561
517	57783.93526
518	57774.10398
519	57759.6382
520	57746.77505
521	57727.18686
522	57721.88719
523	57716.83778
524	57700.11783
525	57675.97697
526	57665.56769
527	57647.79974
528	57637.84152
529	57637.72771
530	57622.5258
531	57614.28182
532	57540.14214
533	57529.43336
534	57472.48456
535	57455.00791
536	57453.83966
537	57445.71477
538	57431.45904
539	57383.70344
540	57334.86474
541	57321.24954
542	57312.462
543	57295.92741
544	57270.9137
545	57252.92275
546	57246.23418
547	57227.54253
548	57220.3689
549	57215.22918
550	57204.14561
551	57195.09516
552	57113.11509
553	57069.79258
554	57018.09404
555	56991.53131
556	56964.36953
557	56950.14288
558	56925.76853
559	56885.9129
560	56830.29589
561	56802.14055
562	56781.17119
563	56771.84547
564	56747.93422
565	56736.89799
566	56720.06118
567	56703.31456
568	56686.65742
569	56667.80173
570	56616.20229
571	56601.1962
572	56591.61191
573	56580.22038
574	56501.66054
575	56492.37193
576	56485.72595
577	56474.22227
578	56460.53541
579	56403.34618
580	56391.57396
581	56378.86451
582	56311.61427
583	56290.76643
584	56270.8993
585	56256.28969
586	56229.68038
587	56214.78412
588	56205.15127
589	56195.68588
590	56176.67658
591	56115.25755
592	56103.91779
593	56096.94179
594	56057.83452
595	56040.81198
596	56012.07157
597	56009.41415
598	56004.52674
599	55974.66059
600	55952.95966
601	55952.16162
602	55942.47689
603	55921.6034
604	55920.48329
605	55913.88998
606	55905.80046
607	55878.77637
608	55869.24841
609	55850.69187
610	55847.35331
611	55841.96366
612	55799.53171
613	55789.12466
614	55736.47074
615	55688.04677
616	55679.55349
617	55670.42865
618	55648.17505
619	55626.56799
620	55604.86521
621	55506.88861
622	55490.48681
623	55475.87784
624	55462.46555
625	55456.25832
626	55444.0486
627	55410.3933
628	55397.7455
629	55379.42572
630	55369.20225
631	55362.14656
632	55350.76097
633	55331.9863
634	55325.2424
635	55272.90953
636	55262.48961
637	55252.63249
638	55234.72883
639	55219.6885
640	55204.46172
641	55195.6718
642	55184.97833
643	55180.56679
644	55158.34475
645	55149.81309
646	55134.47753
647	55125.73658
648	55103.90541
649	55087.26525
650	55072.02978
651	55051.77445
652	55015.13889
653	55008.36153
654	54982.37305
655	54913.30171
656	54902.97735
657	54893.07253
658	54885.6081
659	54875.56999
660	54864.24998
661	54797.46093
662	54792.55281
663	54768.10602
664	54761.42179
665	54701.32964
666	54687.6897
667	54677.86531
668	54663.65927
669	54632.29886
670	54623.29453
671	54575.88245
672	54567.33907
673	54503.57754
674	54449.20015
675	54430.96892
676	54408.41414
677	54387.21596
678	54376.3642
679	54368.43725
680	54279.27059
681	54271.05907
682	54255.506
683	54248.48856
684	54240.96548
685	54232.38907
686	54224.1809
687	54211.28479
688	54204.24353
689	54186.42001
690	54123.79665
691	54116.77329
692	54105.99633
693	54070.75834
694	54056.37787
695	54049.51293
696	54037.91457
697	54009.62669
698	54000.98419
699	53990.35267
700	53976.57851
701	53966.62929
702	53954.18374
703	53943.41124
704	53932.4249
705	53920.80121
706	53911.15603
707	53872.18247
708	53857.4831
709	53847.87781
710	53832.96879
711	53815.32419
712	53800.07131
713	53772.77482
714	53761.5651
715	53747.95218
716	53729.88709
717	53691.49209
718	53685.98064
719	53662.47621
720	53651.92083
721	53639.87011
722	53610.13198
723	53604.71947
724	53591.65074
725	53575.84594
726	53559.67952
727	53550.09467
728	53543.15314
729	53536.16071
730	53527.90316
731	53513.83647
732	53507.24971
733	53498.26224
734	53492.56283
735	53484.89186
736	53473.91742
737	53467.28429
738	53453.07826
739	53440.82251
740	53430.32172
741	53426.02263
742	53417.01122
743	53408.37222
744	53394.44418
745	53356.94471
746	53329.78062
747	53320.81525
748	53312.19786
749	53305.00317
750	53299.48864
751	53267.90637
752	53258.2381
753	53252.79238
754	53246.63612
755	53173.35273
756	53168.19966
757	53154.12688
758	53149.0188
759	53113.27843
760	53091.16879
761	53079.22117
762	53074.31045
763	53065.7761
764	53056.30155
765	53005.20286
766	52998.87753
767	52994.05304
768	52973.01063
769	52960.01701
770	52936.89707
771	52930.88751
772	52906.92446
773	52899.48561
774	52893.54654
775	52878.56634
776	52865.00383
777	52859.24718
778	52843.56883
779	52822.78822
780	52779.1304
781	52759.76512
782	52752.74745
783	52742.34696
784	52724.99731
785	52714.47145
786	52705.0497
787	52697.51216
788	52688.16641
789	52683.16875
790	52678.56871
791	52667.66958
792	52646.26967
793	52571.80844
794	52554.4281
795	52545.13188
796	52527.28072
797	52523.13545
798	52506.7948
799	52501.9598
800	52495.41144
801	52482.8183
802	52473.59651
803	52464.31571
804	52454.30737
805	52444.92317
806	52441.12515
807	52428.79613
808	52408.61997
809	52397.36107
810	52380.73083
811	52370.0074
812	52363.45029
813	52357.70513
814	52336.4578
815	52322.87963
816	52316.86471
817	52311.70842
818	52298.50178
819	52287.92123
820	52269.56857
821	52265.13386
822	52243.04317
823	52231.52463
824	52208.86677
825	52117.95328
826	52110.63135
827	52074.994
828	52068.88437
829	52065.00446
830	52048.03875
831	52042.35147
832	52009.47274
833	51970.32263
834	51931.97884
835	51925.42928
836	51893.38534
837	51882.90144
838	51874.62698
839	51858.09555
840	51852.79347
841	51845.9751
842	51838.05818
843	51818.08408
844	51807.94365
845	51796.2998
846	51737.47079
847	51729.92932
848	51725.86678
849	51714.89797
850	51706.83356
851	51671.62551
852	51657.33223
853	51649.21428
854	51611.30226
855	51595.1104
856	51585.30409
857	51579.25357
858	51570.92466
859	51553.29925
860	51546.91704
861	51541.85723
862	51533.12327
863	51524.63409
864	51497.52598
865	51492.10955
866	51476.15107
867	51460.92734
868	51445.7266
869	51422.79303
870	51415.44381
871	51409.55575
872	51396.79835
873	51393.45641
874	51385.94509
875	51378.00299
876	51366.29171
877	51359.32115
878	51352.42599
879	51348.57982
880	51345.6988
881	51342.90295
882	51334.5086
883	51331.11485
884	51326.68917
885	51319.17407
886	51301.89807
887	51296.55636
888	51290.8244
889	51279.47941
890	51272.43109
891	51268.20002
892	51263.22862
893	51256.7492
894	51252.3128
895	51248.19309
896	51237.89447
897	51222.1438
898	51216.85927
899	51209.65775
900	51190.69426
901	51185.73748
902	51179.36443
903	51170.16034
904	51161.78763
905	51152.48017
906	51148.99889
907	51144.52708
908	51120.13721
909	51108.26663
910	51099.03796
911	51086.3056
912	51078.30761
913	51072.59068
914	51069.92552
915	51061.12765
916	51002.96856
917	50995.49221
918	50982.58899
919	50973.09552
920	50970.25841
921	50962.3753
922	50958.08574
923	50945.07624
924	50933.89562
925	50924.09611
926	50913.54945
927	50908.44958
928	50903.41237
929	50895.69721
930	50888.06675
931	50878.98695
932	50871.79134
933	50865.27587
934	50860.23276
935	50839.63488
936	50836.00865
937	50821.33889
938	50809.61524
939	50803.96916
940	50796.69414
941	50792.70041
942	50787.54929
943	50782.03585
944	50774.36222
945	50770.39437
946	50756.02444
947	50750.83397
948	50740.18588
949	50724.21458
950	50719.7409
951	50662.74649
952	50652.64571
953	50645.73352
954	50639.88488
955	50632.68348
956	50627.64009
957	50617.88634
958	50610.73415
959	50600.203
960	50590.26288
961	50581.75294
962	50578.87306
963	50573.4406
964	50569.9593
965	50564.1285
966	50544.93313
967	50532.62277
968	50525.3948
969	50520.21603
970	50515.92252
971	50510.99218
972	50508.3522
973	50503.05793
974	50498.71735
975	50494.01622
976	50488.68874
977	50483.10049
978	50465.44987
979	50450.53534
980	50415.92147
981	50413.22493
982	50403.71443
983	50394.46517
984	50390.21297
985	50385.04179
986	50373.46478
987	50366.86987
988	50362.75632
989	50353.98159
990	50342.79269
991	50332.17018
992	50321.82373
993	50316.87693
994	50313.13336
995	50290.2498
996	50281.99278
997	50273.78615
998	50243.94845
999	50241.40737
